Family_name	A	C	G	U	purines	pyrimidines	total_atoms	total_residues	HBA	HBD	polar	anion	cation	hydrophobic	others	total_heavy_atoms	r_sasa	r_polar_sasa	r_nonpolar_sasa	pocket_depth	mol_sa	polar_sa	nonpolar_sa	pmi_1	pmi_2	pmi_3	npr1	npr2	asphericity	eccentricity	spherocity_index	inertial_shape_factor	roughness_0.4	roughness_0.8	roughness_1.6	roughness_3.2	alpha	beta	gamma	delta	epsilon	zeta	e_z	chi	phase_angle	st_C3'_endo	st_C2'_endo	st_C3'_exo	st_C2'_exo	ssZp	Dp	splay	eta	eta'	theta'	eta''	theta''	v0	v1	v2	v3	v4	tm	P	pucker_C3'_endo	pucker_C2'_endo	pucker_C3'_exo	pucker_C2'_exo	suite	class
SAM_SAH	2.652173913043478	3.565217391304348	4.043478260869565	3.5217391304347827	6.695652173913044	7.086956521739131	401.39130434782606	13.782608695652174	55.130434782608695	17.82608695652174	40.95652173913044	27.043478260869566	0.0	92.43478260869566	58.91304347826087	292.30434782608694	1712.6417239130428	1563.0533182608688	149.5884056521739	2.097936086956522	4677.056173913043	3471.4944782608704	1205.561695652174	209357.14753917884	281391.044159148	312034.0191036398	0.6706186956521738	0.8961921739130435	0.046165652173913	0.0	0.7799300000000001	3.0434782608695654e-06	6.334973097911403	24.361322323020623	-10.16597010564692	-3.1962847171520314	-32.906775217391306	63.36935260869566	46.31579173913044	95.8945547826087	-136.09593478260868	-64.12979608695652	-36.18262130434782	-133.5064595652174	47.88416304347826	10.826086956521738	2.9130434782608696	0.0	0.0	3.78293	3.9516013043478257	45.57823608695652	9.233761739130438	-80.2227104347826	-99.59832956521738	-66.35574434782609	-69.3144208695652	-3.086975652173913	-12.181934347826086	21.95211869565217	-24.312879565217397	17.228931739130434	39.17227739130435	47.88416304347826	10.826086956521738	2.4782608695652173	0.4347826086956521	0.0	0.5378052173913043	1
SAM-VI	3.0	3.25	5.75	2.75	8.75	6.0	318.25	14.75	59.0	20.5	47.0	29.5	0.0	97.5	64.75	318.25	1603.2364499999996	1266.0062449999996	337.2302049999999	2.26725	8566.985499999999	4533.65675	4033.32875	242818.0457963572	311245.3819872912	375364.8018823038	0.6461075000000001	0.8286924999999999	0.046545	0.0	0.7819099999999999	0.0	6.127277312063604	23.50209189039514	-9.854698043962646	-3.165479377476196	-20.9119075	63.0405925	24.297975	92.0873825	-118.78905	-62.278095	-26.075000000000003	-109.365715	45.767975	11.75	3.0	0.0	0.0	3.155095	3.8299775	46.668215	85.992025	-55.24238	-65.9558325	-100.1295225	-93.7955925	-2.223095	-13.4641675	23.385475	-25.2408325	17.255595	40.0851175	45.767975	11.75	3.0	0.0	0.0	0.3310175	1
SAM-IV	5.0	7.0	6.0	3.0	11.0	10.0	676.0	21.0	84.0	27.0	64.0	42.0	0.0	141.0	90.0	448.0	2836.8861299999967	2724.576669999996	112.30945999999996	1.90302	5693.845	4552.826	1141.019	505079.2605914255	564128.7586184228	742458.7454860511	0.68028	0.75981	0.04074	0.0	0.83638	0.0	6.978953704828013	27.26844580417447	-11.418824943916404	-3.602513470513526	-75.96667	64.58095	45.62381	87.77619	-121.32857	-39.25714	-47.95238	-150.2	25.77619	19.0	2.0	0.0	0.0	3.68857	4.14381	34.00286	99.10952	-9.58571	-77.5381	-65.98571	-78.22857	1.68095	-20.44762	30.4619	-30.28571	18.00952	37.85238	25.77619	19.0	2.0	0.0	0.0	0.45729	1
SAM-III	4.0	1.6666666666666667	6.0	2.333333333333333	10.0	4.0	306.0	14.0	56.0	20.0	48.0	28.0	0.0	92.0	62.0	306.0	1434.6238933333332	1110.57697	324.04692333333327	2.3840533333333336	2468.368	1661.8653333333332	806.5026666666666	223854.51265680345	284093.1218015288	338249.8247115656	0.6653566666666667	0.8395066666666667	0.0434866666666666	0.0	0.79466	0.0	6.071963762382441	23.101897566878467	-9.681308540325062	-3.135314731952748	-58.08571666666668	113.53095333333331	37.69285333333334	96.07143	-130.92857	-44.69285666666667	-26.285713333333334	-155.85476333333335	73.71428333333334	10.333333333333334	3.333333333333333	0.0	0.0	3.6564266666666665	3.80976	52.72619	42.25952333333333	-59.704763333333325	-68.84999666666667	-85.63571333333334	-66.59047666666667	-4.907143333333333	-11.433333333333332	22.673810000000003	-25.72381	19.30714333333333	41.94762	73.71428333333334	9.333333333333334	2.0	0.0	1.0	0.4699533333333333	1
SAM-V	7.0	1.0	4.0	9.0	11.0	10.0	446.0	21.0	84.0	25.0	64.0	42.0	0.0	143.0	88.0	446.0	2833.7578999999982	2184.053899999999	649.7039999999997	2.11334	2392.45	1579.155	813.295	386191.2196337516	553820.6646135375	555380.6610445097	0.69536	0.99719	0.03711	0.0	0.77476	0.0	6.567013950772063	25.898486337200737	-11.090143253841056	-3.5742654340500564	-25.6381	56.68095	49.63333	96.44286	-118.6619	-53.40476	-48.19048	-127.21429	51.45714	16.0	5.0	0.0	0.0	3.6785	3.892	42.9815	26.00952	-131.48571	-111.52857	-113.19048	-96.035	-4.3	-9.28095	18.59048	-21.61429	16.29524	37.61905	51.45714	16.0	5.0	0.0	0.0	0.58857	1
FMN site	5.4375	2.625	12.375	1.875	17.8125	4.5	494.25	22.3125	89.25	34.6875	80.25	44.625	0.0	143.8125	101.625	494.25	2503.6532775	1991.3924512499996	512.2608262499998	2.15453125	4501.379999999999	3071.907125	1429.472875	533851.750511347	661148.9119958943	845917.948820048	0.6307556249999999	0.7797675	0.0539775	0.0	0.785150625	0.0	6.662439594873838	25.859534153320254	-10.992832862267004	-3.601409310280476	-41.129053125	53.67798625	54.50545	94.355648125	-134.113218125	-55.50242875	-21.2346825	-123.331329375	60.7660075	18.6875	3.375	0.0	0.0	3.34512875	4.031619375	42.65519375	74.24502625	-91.627148125	-75.06652375	-69.42584875	-57.8120075	-2.517070625	-13.906213125	24.061010625	-26.143179375	18.14065875	37.724453125	60.7660075	16.625	2.875	0.0625	1.375	0.4421375	1
Tau major groove	3.823529411764706	3.235294117647059	3.117647058823529	4.117647058823529	6.941176470588236	7.352941176470588	456.0	14.294117647058824	57.1764705882353	17.41176470588235	42.47058823529412	28.58823529411765	0.0	96.94117647058825	60.294117647058826	302.88235294117646	2303.7514805882342	2236.905667647057	66.84581294117648	1.817040588235294	0.0	0.0	0.0	238538.91665937312	348865.00764940574	391501.3556524399	0.6377235294117647	0.8882188235294118	0.0549788235294117	0.0	0.7535111764705882	0.0	6.611275136681416	25.984989239893554	-10.917351839727932	-3.3719796959999697	-50.15858	111.2663711764706	61.44353411764706	91.0357494117647	-148.91042529411766	-74.91445941176471	-61.22910764705882	-153.20362352941177	48.55629823529412	12.117647058823527	0.0588235294117647	0.0	0.0	4.080107647058823	4.371751764705882	28.327404117647056	103.81722529411763	-4.511821764705882	-117.35869352941177	-93.33617235294116	-118.1525176470588	-2.2568029411764705	-18.24161	30.51102117647059	-32.77057647058823	22.06789352941176	35.350943529411765	48.55629823529412	11.235294117647058	0.0588235294117647	0.0	1.0	0.3282735294117647	1
Tau A-Bulge site	2.185714285714285	2.7857142857142856	3.3857142857142857	1.7571428571428571	5.571428571428571	4.542857142857143	326.1142857142857	10.114285714285714	40.457142857142856	13.5	31.37142857142857	19.914285714285715	0.0	67.41428571428571	43.68571428571428	216.3428571428572	1824.183619	1759.2132038571422	64.97041514285714	1.789815142857143	0.0	0.0	0.0	143000.93120292103	213003.50061531787	250642.90443810204	0.5749197142857143	0.848641	0.0745837142857143	4.285714285714286e-07	0.7082788571428573	7.85714285714286e-06	6.247548116355083	24.527091604906303	-10.264780849146248	-3.139582692646281	-47.48928971428571	67.11188599999998	26.068535428571437	86.23868399999999	-132.38690714285715	-67.77027557142857	-64.64175942857145	-154.68799157142857	68.2705787142857	8.685714285714285	0.8571428571428571	0.0	0.0	3.830369571428572	4.175623571428573	34.81230314285714	97.065892	-36.209294142857146	-133.96524928571426	-108.99073842857143	-95.53191571428567	-0.0879225714285714	-18.70409942857143	28.573271428571427	-30.05823757142857	19.285957857142854	36.83813199999999	68.2705787142857	7.442857142857143	0.5714285714285714	0.0	1.2285714285714286	0.3488661428571429	1
Lysine site	3.076923076923077	1.0769230769230769	8.76923076923077	1.0	11.846153846153848	2.076923076923077	310.9230769230769	13.923076923076923	55.69230769230769	22.692307692307693	51.53846153846154	27.846153846153847	0.0	88.6923076923077	64.46153846153847	310.9230769230769	1139.4939584615383	903.1703915384618	236.32356692307687	2.587539230769231	7282.310076923077	5025.224615384615	2257.085461538461	198202.36017502676	276443.95012942946	340966.3803165099	0.5825276923076923	0.8142546153846155	0.0670753846153846	0.0	0.7283776923076922	7.692307692307693e-07	6.029158722521552	22.43874767277465	-9.286779747581509	-2.976065048577279	-9.256585384615386	9.684846923076924	9.053253846153847	105.91653000000002	-119.44498076923075	-45.44605846153846	-12.857603846153848	-125.22873307692306	89.19819230769228	8.076923076923077	5.615384615384615	0.0	0.0	2.7906715384615386	3.1124492307692315	55.237107692307696	57.80280615384616	-52.0014876923077	-85.33313153846153	-56.310271538461535	-42.37027153846154	-8.878308461538463	-0.2833399999999999	8.79459923076923	-14.057192307692306	14.48051153846154	40.07094615384615	89.19819230769228	7.153846153846154	4.076923076923077	0.0	0.6923076923076923	0.3510353846153846	1
HIV TAR site	2.5454545454545454	3.4363636363636365	3.618181818181818	3.1818181818181817	6.163636363636364	6.618181818181818	409.0	12.78181818181818	51.127272727272725	16.4	37.89090909090909	25.563636363636363	0.0	85.85454545454546	54.74545454545454	271.58181818181816	1978.625719999999	1908.319787454545	70.30593254545454	1.881604181818182	95.552	73.06334545454546	22.488654545454544	182568.32483932687	254809.71665535687	298610.2929345565	0.6081285454545454	0.8504179999999999	0.065234	0.0	0.7372198181818181	3.4545454545454545e-06	6.465305538441327	25.0996728296733	-10.395137741573366	-3.2056860855427853	-37.60518345454546	68.87819381818181	38.50827636363637	99.3962209090909	-134.40748472727273	-50.86642872727271	-41.64263145454546	-132.1655789090909	71.835782	9.254545454545454	2.018181818181818	0.0	0.0	3.486057636363636	3.762766727272727	38.807004363636366	106.11947927272728	-64.45847163636364	-115.03909872727274	-99.80874327272726	-93.5843249090909	-2.7466036363636364	-10.745564363636364	19.169391090909087	-21.474198363636365	15.250344545454544	32.72442363636364	71.835782	7.927272727272728	1.6	0.3272727272727272	0.7818181818181819	0.3375083636363635	1
HIV DIS	5.333333333333333	4.5	4.333333333333333	2.6666666666666665	9.666666666666666	7.166666666666667	360.3333333333333	16.833333333333332	67.33333333333333	21.166666666666668	53.0	33.666666666666664	0.0	113.5	71.66666666666667	360.3333333333333	1935.5326333333333	1432.7567266666665	502.77590666666646	2.22021	2787.5665000000004	1834.046	953.5205	346572.8236738968	412703.359345513	462731.296241194	0.74737	0.8935233333333333	0.02101	0.0	0.8489049999999999	0.0	6.313835969030069	24.465424896481156	-10.389259248846738	-3.366523693065508	-43.87253833333333	91.64598333333332	52.80064000000001	86.93769833333333	-143.45502166666665	-52.818165	-47.44560166666667	-145.12274166666668	39.288046666666666	15.333333333333334	1.5	0.0	0.0	4.150376666666666	4.304749999999999	44.959045	106.00276166666669	-44.82480666666667	-118.91571	-118.82068499999998	-100.41320833333332	-0.1047066666666666	-20.74053	32.572253333333336	-33.459876666666666	21.14326833333333	41.15120833333334	39.288046666666666	14.833333333333334	1.3333333333333333	0.0	0.5	0.691955	1
HIV FSS	4.033333333333333	6.066666666666666	5.1	2.6666666666666665	9.133333333333333	8.733333333333333	574.5666666666667	17.866666666666667	71.46666666666667	22.966666666666665	54.0	35.733333333333334	0.0	119.96666666666668	76.56666666666666	380.7	2920.344127666662	2859.278347999996	61.06577966666668	1.8795366666666664	0.0	0.0	0.0	302878.91470219527	577607.4634965194	631216.1183355933	0.4964486666666666	0.9182896666666666	0.106972	0.0	0.6155796666666667	0.0	6.840689287749802	26.836630320412997	-11.265830022120134	-3.5224030950625376	-66.105188	-8.568950666666666	63.09703966666665	82.21829699999998	-157.012001	-61.78346433333333	-83.736469	-150.62612966666669	47.98777000000002	17.366666666666667	0.5	0.0	0.0	4.167528333333333	4.490714333333333	28.951236666666663	153.823692	-18.33657333333333	-133.8335996666667	-134.218272	-110.33415666666666	2.1407483333333337	-24.425403333333332	35.11371166666667	-35.57246133333333	21.405665000000003	39.221111	47.98777000000002	15.933333333333334	0.5	0.0	1.2333333333333334	0.6533666666666665	1
HCV IRES	4.571428571428571	4.476190476190476	3.809523809523809	2.0476190476190474	8.380952380952381	6.523809523809524	472.8571428571428	14.904761904761903	59.61904761904762	18.714285714285715	46.57142857142857	29.80952380952381	0.0	100.52380952380952	63.42857142857143	318.6666666666667	2588.066769523806	2483.6931609523776	104.37360857142856	1.8052628571428573	84.61271428571429	56.56095238095238	28.051761904761904	268834.6309770677	405587.88369043765	462795.288941664	0.5839742857142858	0.8785819047619048	0.0674219047619047	0.0	0.7100704761904761	0.0	6.662986839582449	26.264661537900484	-11.0784736475146	-3.4550679514445983	-67.45497142857141	75.62830476190477	54.19759904761905	89.96479904761904	-141.8568442857143	-61.53583190476191	-63.61941952380951	-147.44505999999998	67.8532876190476	11.476190476190476	2.0	0.0	0.0	3.76372761904762	4.031021428571428	35.41146142857142	90.7446861904762	-108.64935285714284	-123.89631285714287	-102.9911857142857	-118.63146952380951	0.641412380952381	-17.450584285714285	26.08156142857143	-26.801883333333336	16.743305714285714	38.110797142857145	67.8532876190476	10.047619047619047	0.5714285714285714	0.9523809523809524	0.9523809523809524	0.4420152380952381	1
